WO,District,LeadTech,Service,Rush,ReqDate,WorkDate,Techs,WtyLbr,WtyParts, LbrHrs , PartsCost ,Payment, Wait ,LbrRate, LbrCost , LbrFee , PartsFee , TotalCost , TotalFee ,ReqDay,WorkDay
A00413,South,Lopez,Assess,,4-Feb-21,15-Feb-21,1,,,1.5,33.48,P.O.,11,#REF!,#REF!,#REF!,33.48,#REF!,#REF!,Thu,Mon
A00414,West,Burton,Assess,,4-Feb-21,20-Feb-21,2,,,0.25,33.86,Account,16,#REF!,#REF!,#REF!,33.86,#REF!,#REF!,Thu,Sat
A00415,South,Lopez,Deliver,,4-Feb-21,23-Feb-21,1,,,0.25,33.96,Account,19,#REF!,#REF!,#REF!,33.96,#REF!,#REF!,Thu,Tue
A00416,West,Khan,Assess,,4-Feb-21,5-Mar-21,1,,,0.5,36.89,C.O.D.,29,#REF!,#REF!,#REF!,36.89,#REF!,#REF!,Thu,Fri
A00417,Southeast,Khan,Assess,,4-Feb-21,9-Mar-21,1,,,0.5,25.34,C.O.D.,33,#REF!,#REF!,#REF!,25.34,#REF!,#REF!,Thu,Tue
A00418,Northeast,Ling,Deliver,,4-Feb-21,15-Mar-21,1,,,0.25,30,Account,39,#REF!,#REF!,#REF!,30,#REF!,#REF!,Thu,Mon
A00419,Southeast,Burton,Assess,Yes,5-Feb-21,13-Mar-21,1,,,0.5,31.81,Account,36,#REF!,#REF!,#REF!,31.81,#REF!,#REF!,Fri,Sat
A00420,Northwest,Khan,Replace,Yes,5-Feb-21,30-Jun-21,1,,,0.5,61.17,P.O.,145,#REF!,#REF!,#REF!,61.17,#REF!,#REF!,Fri,Wed
A00421,West,Khan,Assess,,6-Feb-21,23-Mar-21,1,,,0.5,15.54,P.O.,45,#REF!,#REF!,#REF!,15.54,#REF!,#REF!,Sat,Tue
A00422,West,Khan,Deliver,,6-Feb-21,31-Mar-21,1,,,0.25,72.35,Account,53,#REF!,#REF!,#REF!,72.35,#REF!,#REF!,Sat,Wed
A00423,North,Ling,Deliver,Yes,8-Feb-21,19-Feb-21,1,,,0.25,96.71,Account,11,#REF!,#REF!,#REF!,96.71,#REF!,#REF!,Mon,Fri
A00424,Northwest,Cartier,Replace,,8-Feb-21,16-Feb-21,1,,,0.5,207.9,C.O.D.,8,#REF!,#REF!,#REF!,207.9,#REF!,#REF!,Mon,Tue
A00425,South,Lopez,Install,,8-Feb-21,18-Feb-21,3,,,3.5,821.87,Account,10,#REF!,#REF!,#REF!,821.87,#REF!,#REF!,Mon,Thu
A00426,North,Ling,Repair,,8-Feb-21,22-Feb-21,2,,,1,118.56,Account,14,#REF!,#REF!,#REF!,118.56,#REF!,#REF!,Mon,Mon
A00427,Northwest,Cartier,Assess,Yes,9-Feb-21,10-Feb-21,1,,,0.25,54.46,P.O.,1,#REF!,#REF!,#REF!,54.46,#REF!,#REF!,Tue,Wed
A00428,North,Ling,Assess,,9-Feb-21,22-Feb-21,2,,,0.25,83.44,Account,13,#REF!,#REF!,#REF!,83.44,#REF!,#REF!,Tue,Mon
A00429,North,Ling,Assess,,9-Feb-21,24-Feb-21,2,,,0.75,36,Account,15,#REF!,#REF!,#REF!,36,#REF!,#REF!,Tue,Wed
A00430,South,Lopez,Replace,,9-Feb-21,13-Apr-21,1,,,0.5,53.43,Account,63,#REF!,#REF!,#REF!,53.43,#REF!,#REF!,Tue,Tue
A00431,North,Ling,Assess,,10-Feb-21,17-Feb-21,1,,,0.5,76.79,Account,7,#REF!,#REF!,#REF!,76.79,#REF!,#REF!,Wed,Wed
A00432,Southeast,Burton,Assess,,10-Feb-21,22-Feb-21,1,Yes,Yes,0.25,78,Warranty,12,#REF!,#REF!, -   , -   ,#REF!, -   ,Wed,Mon
A00433,Northwest,Burton,Replace,,10-Feb-21,25-Feb-21,2,,,2.75,666.44,C.O.D.,15,#REF!,#REF!,#REF!,666.44,#REF!,#REF!,Wed,Thu
A00434,Northwest,Burton,Deliver,Yes,11-Feb-21,27-Feb-21,1,,,0.25,19.2,C.O.D.,16,#REF!,#REF!,#REF!,19.2,#REF!,#REF!,Thu,Sat
A00435,South,Lopez,Assess,,11-Feb-21,11-Mar-21,1,,,0.75,414.54,P.O.,28,#REF!,#REF!,#REF!,414.54,#REF!,#REF!,Thu,Thu
A00436,Southeast,Khan,Repair,,13-Feb-21,8-Apr-21,1,,,1,19.2,Account,54,#REF!,#REF!,#REF!,19.2,#REF!,#REF!,Sat,Thu
A00437,North,Ling,Install,,15-Feb-21,18-Feb-21,2,,,1,157.86,Account,3,#REF!,#REF!,#REF!,157.86,#REF!,#REF!,Mon,Thu
A00438,North,Ling,Assess,,15-Feb-21,24-Feb-21,2,,,0.25,160.39,Account,9,#REF!,#REF!,#REF!,160.39,#REF!,#REF!,Mon,Wed
A00439,North,Ling,Assess,,15-Feb-21,25-Feb-21,2,,,0.25,46.85,Account,10,#REF!,#REF!,#REF!,46.85,#REF!,#REF!,Mon,Thu
A00440,Southwest,Cartier,Replace,Yes,15-Feb-21,1-Mar-21,2,,,1.25,952.06,C.O.D.,14,#REF!,#REF!,#REF!,952.06,#REF!,#REF!,Mon,Mon
A00441,West,Khan,Deliver,,16-Feb-21,3-Mar-21,1,,,0.25,17.42,Account,15,#REF!,#REF!,#REF!,17.42,#REF!,#REF!,Tue,Wed
A00442,Northwest,Cartier,Replace,,16-Feb-21,8-Mar-21,2,,,0.5,202,C.O.D.,20,#REF!,#REF!,#REF!,202,#REF!,#REF!,Tue,Mon
A00443,Southeast,Burton,Assess,,17-Feb-21,22-Feb-21,1,,,0.75,137.13,Account,5,#REF!,#REF!,#REF!,137.13,#REF!,#REF!,Wed,Mon
A00444,West,Khan,Assess,,17-Feb-21,1-Mar-21,1,,,0.5,180,C.O.D.,12,#REF!,#REF!,#REF!,180,#REF!,#REF!,Wed,Mon
A00445,Central,Khan,Assess,,17-Feb-21,1-Mar-21,1,,,0.25,255.34,C.O.D.,12,#REF!,#REF!,#REF!,255.34,#REF!,#REF!,Wed,Mon
A00446,Northwest,Khan,Deliver,,17-Feb-21,2-Mar-21,1,,,0.25,48.37,P.O.,13,#REF!,#REF!,#REF!,48.37,#REF!,#REF!,Wed,Tue
A00447,North,Ling,Deliver,,17-Feb-21,8-Mar-21,1,,,0.25,40.2,Account,19,#REF!,#REF!,#REF!,40.2,#REF!,#REF!,Wed,Mon
A00448,Central,Cartier,Deliver,,18-Feb-21,6-Mar-21,1,,,0.25,61.5,Account,16,#REF!,#REF!,#REF!,61.5,#REF!,#REF!,Thu,Sat
A00449,Northwest,Khan,Replace,,18-Feb-21,2-Mar-21,1,,,0.5,42.66,Account,12,#REF!,#REF!,#REF!,42.66,#REF!,#REF!,Thu,Tue
A00450,North,Ling,Replace,,18-Feb-21,10-Mar-21,1,,,0.5,16.42,Credit,20,#REF!,#REF!,#REF!,16.42,#REF!,#REF!,Thu,Wed
A00451,Southeast,Burton,Assess,,19-Feb-21,9-Mar-21,2,,,0.5,31.81,Account,18,#REF!,#REF!,#REF!,31.81,#REF!,#REF!,Fri,Tue
A00452,North,Ling,Assess,,22-Feb-21,29-Mar-21,2,,,0.5,239.97,Account,35,#REF!,#REF!,#REF!,239.97,#REF!,#REF!,Mon,Mon
A00453,Central,Burton,Repair,,23-Feb-21,2-Mar-21,1,,,1,90,C.O.D.,7,#REF!,#REF!,#REF!,90,#REF!,#REF!,Tue,Tue
A00454,South,Lopez,Deliver,,23-Feb-21,16-Mar-21,1,,,0.25,16.25,Account,21,#REF!,#REF!,#REF!,16.25,#REF!,#REF!,Tue,Tue
A00455,Central,Cartier,Assess,,23-Feb-21,1-Apr-21,2,,,0.25,269.4,C.O.D.,37,#REF!,#REF!,#REF!,269.4,#REF!,#REF!,Tue,Thu
A00456,South,Lopez,Deliver,,24-Feb-21,15-Mar-21,1,,,0.25,33.5,Account,19,#REF!,#REF!,#REF!,33.5,#REF!,#REF!,Wed,Mon
A00457,Central,Burton,Assess,,25-Feb-21,8-Mar-21,1,,,0.25,305.46,Account,11,#REF!,#REF!,#REF!,305.46,#REF!,#REF!,Thu,Mon
A00458,South,Lopez,Replace,,25-Feb-21,15-Mar-21,1,,,0.75,50.67,P.O.,18,#REF!,#REF!,#REF!,50.67,#REF!,#REF!,Thu,Mon
A00459,South,Lopez,Replace,,25-Feb-21,16-Mar-21,1,,,0.5,45.63,P.O.,19,#REF!,#REF!,#REF!,45.63,#REF!,#REF!,Thu,Tue
A00460,West,Khan,Replace,,25-Feb-21,24-Mar-21,1,,,1,42.66,C.O.D.,27,#REF!,#REF!,#REF!,42.66,#REF!,#REF!,Thu,Wed
A00461,Central,Burton,Assess,,25-Feb-21,7-Apr-21,1,,,0.25,38.7,P.O.,41,#REF!,#REF!,#REF!,38.7,#REF!,#REF!,Thu,Wed
A00462,Central,Cartier,Assess,,1-Mar-21,15-Mar-21,1,,,0.25,164.22,Account,14,#REF!,#REF!,#REF!,164.22,#REF!,#REF!,Mon,Mon
A00463,West,Khan,Replace,,1-Mar-21,15-Mar-21,2,,,0.5,24.38,Account,14,#REF!,#REF!,#REF!,24.38,#REF!,#REF!,Mon,Mon
A00464,South,Lopez,Assess,,1-Mar-21,24-Mar-21,1,,,0.25,267.94,P.O.,23,#REF!,#REF!,#REF!,267.94,#REF!,#REF!,Mon,Wed
A00465,East,Ling,Assess,,1-Mar-21,13-Apr-21,2,,,0.5,175.87,Account,43,#REF!,#REF!,#REF!,175.87,#REF!,#REF!,Mon,Tue
A00466,Central,Cartier,Deliver,,1-Mar-21,20-Apr-21,1,Yes,Yes,0.25,81.12,Warranty,50,#REF!,#REF!, -   , -   ,#REF!, -   ,Mon,Tue
A00467,North,Ling,Assess,,1-Mar-21,29-Apr-21,2,Yes,Yes,1,9.98,Warranty,59,#REF!,#REF!, -   , -   ,#REF!, -   ,Mon,Thu
A00468,Northwest,Khan,Assess,,2-Mar-21,9-Mar-21,1,,,1.25,340.7,Account,7,#REF!,#REF!,#REF!,340.7,#REF!,#REF!,Tue,Tue
A00469,Northwest,Khan,Replace,Yes,2-Mar-21,10-Mar-21,1,,,0.75,22.84,P.O.,8,#REF!,#REF!,#REF!,22.84,#REF!,#REF!,Tue,Wed
A00470,South,Lopez,Replace,,2-Mar-21,11-Mar-21,1,,,0.5,3.58,Account,9,#REF!,#REF!,#REF!,3.58,#REF!,#REF!,Tue,Thu
A00471,South,Lopez,Assess,,2-Mar-21,11-Mar-21,1,,,0.25,16.25,Account,9,#REF!,#REF!,#REF!,16.25,#REF!,#REF!,Tue,Thu
A00472,Central,Burton,Replace,,2-Mar-21,20-Mar-21,1,,,0.75,19.2,P.O.,18,#REF!,#REF!,#REF!,19.2,#REF!,#REF!,Tue,Sat
A00473,Southeast,Cartier,Deliver,,2-Mar-21,16-Mar-21,1,,,0.25,73.51,P.O.,14,#REF!,#REF!,#REF!,73.51,#REF!,#REF!,Tue,Tue
A00474,Central,Burton,Assess,,2-Mar-21,23-Mar-21,1,,,0.25,144,P.O.,21,#REF!,#REF!,#REF!,144,#REF!,#REF!,Tue,Tue
A00475,Southeast,Burton,Install,,2-Mar-21,23-Mar-21,1,,Yes,2,94.71,C.O.D.,21,#REF!,#REF!,#REF!, -   ,#REF!,#REF!,Tue,Tue
A00476,Central,Burton,Assess,Yes,3-Mar-21,9-Mar-21,2,,,0.25,41.15,C.O.D.,6,#REF!,#REF!,#REF!,41.15,#REF!,#REF!,Wed,Tue
A00477,East,Ling,Replace,,3-Mar-21,6-Apr-21,2,,,0.5,76.95,C.O.D.,34,#REF!,#REF!,#REF!,76.95,#REF!,#REF!,Wed,Tue
A00478,West,Khan,Assess,,3-Mar-21,26-Apr-21,1,,,0.5,25.24,P.O.,54,#REF!,#REF!,#REF!,25.24,#REF!,#REF!,Wed,Mon
A00479,Northwest,Burton,Assess,Yes,3-Mar-21,13-May-21,2,,,0.75,572.63,C.O.D.,71,#REF!,#REF!,#REF!,572.63,#REF!,#REF!,Wed,Thu
A00480,South,Burton,Replace,,3-Mar-21,12-Jul-21,2,,,1.25,361.9,Account,131,#REF!,#REF!,#REF!,361.9,#REF!,#REF!,Wed,Mon
A00481,Northwest,Cartier,Assess,,4-Mar-21,8-Mar-21,1,,,0.25,110.23,Account,4,#REF!,#REF!,#REF!,110.23,#REF!,#REF!,Thu,Mon
A00482,South,Lopez,Assess,,4-Mar-21,15-Mar-21,1,,,0.25,33.91,Account,11,#REF!,#REF!,#REF!,33.91,#REF!,#REF!,Thu,Mon
A00483,North,Ling,Assess,,4-Mar-21,24-Mar-21,2,,,0.25,19,Account,20,#REF!,#REF!,#REF!,19,#REF!,#REF!,Thu,Wed
A00484,West,Khan,Install,,4-Mar-21,24-Mar-21,1,,,1.25,294.78,P.O.,20,#REF!,#REF!,#REF!,294.78,#REF!,#REF!,Thu,Wed
A00485,East,Ling,Assess,,4-Mar-21,26-Apr-21,2,,,0.25,83.23,Account,53,#REF!,#REF!,#REF!,83.23,#REF!,#REF!,Thu,Mon
A00486,South,Lopez,Assess,,8-Mar-21,16-Mar-21,1,,,0.75,103.08,Account,8,#REF!,#REF!,#REF!,103.08,#REF!,#REF!,Mon,Tue
A00487,Central,Cartier,Replace,,8-Mar-21,16-Mar-21,2,,,0.5,144.31,C.O.D.,8,#REF!,#REF!,#REF!,144.31,#REF!,#REF!,Mon,Tue
A00488,North,Ling,Assess,,8-Mar-21,25-Mar-21,2,,,0.25,39,Account,17,#REF!,#REF!,#REF!,39,#REF!,#REF!,Mon,Thu
A00489,Central,Burton,Install,,8-Mar-21,27-Mar-21,2,,,2.5,224,C.O.D.,19,#REF!,#REF!,#REF!,224,#REF!,#REF!,Mon,Sat
A00490,South,Lopez,Assess,,8-Mar-21,12-Jun-21,1,,,0.5,475.54,Account,96,#REF!,#REF!,#REF!,475.54,#REF!,#REF!,Mon,Sat
A00491,Central,Khan,Assess,,9-Mar-21,16-Mar-21,1,,,1,46.04,C.O.D.,7,#REF!,#REF!,#REF!,46.04,#REF!,#REF!,Tue,Tue
A00492,South,Lopez,Assess,,9-Mar-21,16-Mar-21,1,,,0.75,294.55,Account,7,#REF!,#REF!,#REF!,294.55,#REF!,#REF!,Tue,Tue
A00493,West,Khan,Replace,,9-Mar-21,25-May-21,2,,,1,28.5,P.O.,77,#REF!,#REF!,#REF!,28.5,#REF!,#REF!,Tue,Tue
A00494,East,Ling,Install,,10-Mar-21,12-Mar-21,2,,,1.5,50,Account,2,#REF!,#REF!,#REF!,50,#REF!,#REF!,Wed,Fri
A00495,Southeast,Khan,Assess,,10-Mar-21,10-Mar-21,1,,,0.5,10,Account, -   ,#REF!,#REF!,#REF!,10,#REF!,#REF!,Wed,Wed
A00496,North,Ling,Install,Yes,10-Mar-21,17-Mar-21,2,,,1.5,29.33,Account,7,#REF!,#REF!,#REF!,29.33,#REF!,#REF!,Wed,Wed
A00497,South,Burton,Assess,Yes,10-Mar-21,17-Mar-21,1,,Yes,0.25,19.2,C.O.D.,7,#REF!,#REF!,#REF!, -   ,#REF!,#REF!,Wed,Wed
A00498,West,Khan,Replace,,10-Mar-21,17-Mar-21,2,,,0.5,24.19,C.O.D.,7,#REF!,#REF!,#REF!,24.19,#REF!,#REF!,Wed,Wed
A00499,East,Ling,Assess,,10-Mar-21,18-Mar-21,2,,,0.5,159,Account,8,#REF!,#REF!,#REF!,159,#REF!,#REF!,Wed,Thu
A00500,Southeast,Burton,Assess,,10-Mar-21,24-Mar-21,2,,Yes,0.5,411.1,C.O.D.,14,#REF!,#REF!,#REF!, -   ,#REF!,#REF!,Wed,Wed
A00501,North,Ling,Assess,,10-Mar-21,8-Apr-21,1,,,0.75,58.36,Account,29,#REF!,#REF!,#REF!,58.36,#REF!,#REF!,Wed,Thu
A00502,Southeast,Burton,Repair,,10-Mar-21,20-Apr-21,1,,Yes,1.75,98.55,C.O.D.,41,#REF!,#REF!,#REF!, -   ,#REF!,#REF!,Wed,Tue
A00503,East,Ling,Repair,,10-Mar-21,21-Apr-21,2,Yes,Yes,2,145.15,Warranty,42,#REF!,#REF!, -   , -   ,#REF!, -   ,Wed,Wed
A00504,Southeast,Burton,Replace,,11-Mar-21,11-Mar-21,2,,,0.75,125.73,Account, -   ,#REF!,#REF!,#REF!,125.73,#REF!,#REF!,Thu,Thu
A00505,Northwest,Khan,Assess,Yes,11-Mar-21,1-Jun-21,1,,,0.25,204.28,C.O.D.,82,#REF!,#REF!,#REF!,204.28,#REF!,#REF!,Thu,Tue
A00506,Central,Cartier,Deliver,,11-Mar-21,17-Jul-21,1,,,0.25,120,Account,128,#REF!,#REF!,#REF!,120,#REF!,#REF!,Thu,Sat
A00507,North,Ling,Assess,,15-Mar-21,27-Mar-21,2,,,1,203,Account,12,#REF!,#REF!,#REF!,203,#REF!,#REF!,Mon,Sat
A00508,East,Ling,Assess,,15-Mar-21,23-Mar-21,2,Yes,Yes,0.75,222.33,Warranty,8,#REF!,#REF!, -   , -   ,#REF!, -   ,Mon,Tue
A00509,Northwest,Cartier,Install,,15-Mar-21,24-Mar-21,2,,,4.75,56.4,Account,9,#REF!,#REF!,#REF!,56.4,#REF!,#REF!,Mon,Wed
A00510,North,Ling,Install,,15-Mar-21,29-Mar-21,2,,Yes,1,60,C.O.D.,14,#REF!,#REF!,#REF!, -   ,#REF!,#REF!,Mon,Mon
A00511,North,Ling,Assess,,15-Mar-21,31-Mar-21,1,,,0.75,21.33,Account,16,#REF!,#REF!,#REF!,21.33,#REF!,#REF!,Mon,Wed
A00512,North,Ling,Deliver,,15-Mar-21,30-Mar-21,1,,,0.25,204.28,Account,15,#REF!,#REF!,#REF!,204.28,#REF!,#REF!,Mon,Tue
A00513,Central,Burton,Repair,,15-Mar-21,7-Apr-21,1,,Yes,1.5,95.04,C.O.D.,23,#REF!,#REF!,#REF!, -   ,#REF!,#REF!,Mon,Wed
A00514,Northwest,Cartier,Deliver,Yes,15-Mar-21,19-Apr-21,1,,,0.25,23.4,Account,35,#REF!,#REF!,#REF!,23.4,#REF!,#REF!,Mon,Mon
A00515,Central,Ling,Repair,,15-Mar-21,8-May-21,2,Yes,Yes,2.25,934.45,Warranty,54,#REF!,#REF!, -   , -   ,#REF!, -   ,Mon,Sat
A00516,West,Khan,Replace,,16-Mar-21,17-Mar-21,1,,,0.5,18,P.O.,1,#REF!,#REF!,#REF!,18,#REF!,#REF!,Tue,Wed
A00517,Southeast,Cartier,Assess,Yes,16-Mar-21,25-Mar-21,1,,,0.25,134.85,C.O.D.,9,#REF!,#REF!,#REF!,134.85,#REF!,#REF!,Tue,Thu
A00518,Northwest,Cartier,Assess,Yes,16-Mar-21,23-Mar-21,1,,,0.5,61.26,Account,7,#REF!,#REF!,#REF!,61.26,#REF!,#REF!,Tue,Tue
A00519,Central,Burton,Replace,,16-Mar-21,2-Apr-21,2,,,4.5,658.68,Account,17,#REF!,#REF!,#REF!,658.68,#REF!,#REF!,Tue,Fri
A00520,Central,Burton,Repair,,16-Mar-21,3-Apr-21,2,,,8,"1,468.52",Account,18,#REF!,#REF!,#REF!,"1,468.52",#REF!,#REF!,Tue,Sat
A00521,South,Lopez,Replace,,16-Mar-21,31-Mar-21,1,,,0.75,82.59,Account,15,#REF!,#REF!,#REF!,82.59,#REF!,#REF!,Tue,Wed
A00522,Northeast,Ling,Install,,16-Mar-21,16-Apr-21,2,,Yes,2.75,340.55,C.O.D.,31,#REF!,#REF!,#REF!, -   ,#REF!,#REF!,Tue,Fri
A00523,Southeast,Khan,Assess,,16-Mar-21,6-May-21,1,,,0.25,72.06,C.O.D.,51,#REF!,#REF!,#REF!,72.06,#REF!,#REF!,Tue,Thu
A00524,Northeast,Burton,Assess,,17-Mar-21,10-Apr-21,1,,,0.5,48.99,Account,24,#REF!,#REF!,#REF!,48.99,#REF!,#REF!,Wed,Sat
A00525,North,Ling,Deliver,,17-Mar-21,10-Apr-21,1,,,0.25,15.4,Account,24,#REF!,#REF!,#REF!,15.4,#REF!,#REF!,Wed,Sat
A00526,East,Khan,Replace,,19-Mar-21,6-May-21,1,,,0.75,204.1,C.O.D.,48,#REF!,#REF!,#REF!,204.1,#REF!,#REF!,Fri,Thu
A00527,North,Ling,Assess,,20-Mar-21,10-Apr-21,1,,,0.25,12.63,Account,21,#REF!,#REF!,#REF!,12.63,#REF!,#REF!,Sat,Sat
A00528,Northeast,Ling,Assess,,20-Mar-21,13-Apr-21,1,,,0.25,15.24,P.O.,24,#REF!,#REF!,#REF!,15.24,#REF!,#REF!,Sat,Tue
A00529,West,Khan,Assess,,22-Mar-21,31-Mar-21,1,Yes,Yes,0.5,50,Warranty,9,#REF!,#REF!, -   , -   ,#REF!, -   ,Mon,Wed
A00530,South,Burton,Repair,,22-Mar-21,20-Apr-21,1,,Yes,1.5,272.55,C.O.D.,29,#REF!,#REF!,#REF!, -   ,#REF!,#REF!,Mon,Tue
A00531,Northwest,Cartier,Replace,,22-Mar-21,20-Apr-21,2,,,6.25,27,C.O.D.,29,#REF!,#REF!,#REF!,27,#REF!,#REF!,Mon,Tue
A00532,Southeast,Khan,Assess,,22-Mar-21,22-Apr-21,1,Yes,Yes,0.25,65.43,Warranty,31,#REF!,#REF!, -   , -   ,#REF!, -   ,Mon,Thu
A00533,North,Ling,Assess,,22-Mar-21,6-May-21,2,,,0.5,85.32,Account,45,#REF!,#REF!,#REF!,85.32,#REF!,#REF!,Mon,Thu
A00534,South,Burton,Install,,22-Mar-21,10-May-21,2,,Yes,1.5,572.17,C.O.D.,49,#REF!,#REF!,#REF!, -   ,#REF!,#REF!,Mon,Mon
A00535,South,Burton,Repair,,22-Mar-21,10-May-21,2,,Yes,4.5,937.98,C.O.D.,49,#REF!,#REF!,#REF!, -   ,#REF!,#REF!,Mon,Mon
A00536,Central,Burton,Replace,,23-Mar-21,23-Mar-21,1,Yes,Yes,0.5,165,Warranty, -   ,#REF!,#REF!, -   , -   ,#REF!, -   ,Tue,Tue
A00537,North,Ling,Assess,,23-Mar-21,3-Apr-21,2,Yes,Yes,0.25,55.3,Warranty,11,#REF!,#REF!, -   , -   ,#REF!, -   ,Tue,Sat
A00538,Southeast,Cartier,Replace,,23-Mar-21,10-Apr-21,1,,Yes,2.75,534.57,C.O.D.,18,#REF!,#REF!,#REF!, -   ,#REF!,#REF!,Tue,Sat
A00539,Central,Burton,Assess,,23-Mar-21,8-Apr-21,1,,Yes,1,448.26,C.O.D.,16,#REF!,#REF!,#REF!, -   ,#REF!,#REF!,Tue,Thu
A00540,Southwest,Burton,Assess,,23-Mar-21,14-Apr-21,2,,,1,123.21,C.O.D.,22,#REF!,#REF!,#REF!,123.21,#REF!,#REF!,Tue,Wed
A00541,Central,Khan,Deliver,,23-Mar-21,12-Apr-21,1,,,0.25,77.29,C.O.D.,20,#REF!,#REF!,#REF!,77.29,#REF!,#REF!,Tue,Mon
A00542,North,Ling,Install,,23-Mar-21,12-Apr-21,2,Yes,Yes,1,360,Warranty,20,#REF!,#REF!, -   , -   ,#REF!, -   ,Tue,Mon
A00543,Northwest,Burton,Repair,,23-Mar-21,13-May-21,2,,,3.5,653,C.O.D.,51,#REF!,#REF!,#REF!,653,#REF!,#REF!,Tue,Thu
A00544,South,Lopez,Install,,24-Mar-21,6-Apr-21,1,,,1.5,118.3,Account,13,#REF!,#REF!,#REF!,118.3,#REF!,#REF!,Wed,Tue
A00545,Southwest,Ling,Repair,,24-Mar-21,11-Jun-21,2,,Yes,2.5,"1,480.36",C.O.D.,79,#REF!,#REF!,#REF!, -   ,#REF!,#REF!,Wed,Fri
A00546,East,Ling,Repair,,25-Mar-21,11-May-21,2,,,2.5,837.16,C.O.D.,47,#REF!,#REF!,#REF!,837.16,#REF!,#REF!,Thu,Tue
A00547,North,Ling,Repair,,27-Mar-21,30-Jun-21,2,,,1.75,242.64,C.O.D.,95,#REF!,#REF!,#REF!,242.64,#REF!,#REF!,Sat,Wed
A00548,Southeast,Cartier,Repair,,29-Mar-21,7-Apr-21,1,,Yes,2,262.03,C.O.D.,9,#REF!,#REF!,#REF!, -   ,#REF!,#REF!,Mon,Wed
A00549,Southeast,Khan,Install,,29-Mar-21,28-Jun-21,1,,,1.75,473.6,C.O.D.,91,#REF!,#REF!,#REF!,473.6,#REF!,#REF!,Mon,Mon
A00550,Central,Khan,Repair,,30-Mar-21,12-May-21,1,,,2.75,708.02,C.O.D.,43,#REF!,#REF!,#REF!,708.02,#REF!,#REF!,Tue,Wed
A00551,Central,Burton,Replace,,31-Mar-21,6-Apr-21,1,,,0.5,13.32,C.O.D.,6,#REF!,#REF!,#REF!,13.32,#REF!,#REF!,Wed,Tue
A00552,Southwest,Burton,Replace,Yes,31-Mar-21,21-Apr-21,1,,,0.75,51.29,C.O.D.,21,#REF!,#REF!,#REF!,51.29,#REF!,#REF!,Wed,Wed
A00553,North,Ling,Deliver,,1-Apr-21,16-Apr-21,1,,,0.25,89.5,Account,15,#REF!,#REF!,#REF!,89.5,#REF!,#REF!,Thu,Fri
A00554,Northwest,Burton,Assess,,1-Apr-21,12-Apr-21,1,,,0.25,74.53,P.O.,11,#REF!,#REF!,#REF!,74.53,#REF!,#REF!,Thu,Mon
A00555,North,Ling,Repair,,1-Apr-21,12-Apr-21,2,,,1.5,64,Account,11,#REF!,#REF!,#REF!,64,#REF!,#REF!,Thu,Mon
A00556,Northwest,Khan,Assess,Yes,1-Apr-21,14-Apr-21,1,,,0.25,23.4,Account,13,#REF!,#REF!,#REF!,23.4,#REF!,#REF!,Thu,Wed
A00557,East,Ling,Assess,,1-Apr-21,26-Apr-21,2,,,0.25,17.13,Account,25,#REF!,#REF!,#REF!,17.13,#REF!,#REF!,Thu,Mon
A00558,West,Lopez,Assess,,1-Apr-21,29-Apr-21,1,,,0.5,149.5,P.O.,28,#REF!,#REF!,#REF!,149.5,#REF!,#REF!,Thu,Thu
A00559,Northwest,Burton,Assess,,2-Apr-21,26-Apr-21,1,,,0.5,163.2,P.O.,24,#REF!,#REF!,#REF!,163.2,#REF!,#REF!,Fri,Mon
A00560,North,Ling,Assess,,3-Apr-21,15-Apr-21,2,,,0.25,14.76,Account,12,#REF!,#REF!,#REF!,14.76,#REF!,#REF!,Sat,Thu
A00561,Southeast,Cartier,Assess,,3-Apr-21,27-Apr-21,1,,,0.75,21.33,Account,24,#REF!,#REF!,#REF!,21.33,#REF!,#REF!,Sat,Tue
A00562,Northwest,Burton,Assess,,3-Apr-21,11-May-21,2,,Yes,1,304.51,C.O.D.,38,#REF!,#REF!,#REF!, -   ,#REF!,#REF!,Sat,Tue
A00563,Northeast,Khan,Assess,Yes,3-Apr-21,11-May-21,1,,,0.5,36.34,Account,38,#REF!,#REF!,#REF!,36.34,#REF!,#REF!,Sat,Tue
A00564,East,Ling,Assess,,5-Apr-21,14-Apr-21,2,,,0.5,21.33,Account,9,#REF!,#REF!,#REF!,21.33,#REF!,#REF!,Mon,Wed
A00565,North,Ling,Replace,,5-Apr-21,23-Apr-21,2,,,0.5,392.02,C.O.D.,18,#REF!,#REF!,#REF!,392.02,#REF!,#REF!,Mon,Fri
A00566,North,Ling,Assess,,5-Apr-21,29-Apr-21,1,,,0.25,151.79,Account,24,#REF!,#REF!,#REF!,151.79,#REF!,#REF!,Mon,Thu
A00567,Northwest,Cartier,Assess,,5-Apr-21,12-May-21,1,,,0.25,30.11,Account,37,#REF!,#REF!,#REF!,30.11,#REF!,#REF!,Mon,Wed
A00568,East,Ling,Replace,,5-Apr-21,17-May-21,2,,,0.75,13.36,C.O.D.,42,#REF!,#REF!,#REF!,13.36,#REF!,#REF!,Mon,Mon
A00569,Central,Cartier,Repair,,5-Apr-21,15-Jun-21,1,,,4.25,21.33,Account,71,#REF!,#REF!,#REF!,21.33,#REF!,#REF!,Mon,Tue
